,Release date,Name,Details
0,"June 29, 1999",''[[Pokémon 2.B.A. Master]]'',Soundtrack for ''[[S01|Pokémon: Indigo League]]''
1,"October 26, 1999",''[[Don't Say You Love Me (single)|Don't Say You Love Me]]'',Single of ''[[Don't Say You Love Me]]''
2,"October 26, 1999",''[[Pokémon Theme (single)|Pokémon Theme]]'',Unofficial single of ''[[Pokémon Theme]]''
3,"November 9, 1999",''[[Pokémon the First Movie (soundtrack)|Pokémon the First Movie]]'',Soundtrack for ''[[M01|Mewtwo Strikes Back]]'' and ''[[PK01|Pikachu's Vacation]]''
4,2000,''[[Pokémon Gotta Catch the Sound!]]'',Soundtrack for [[Pokémon Snap]] and [[Pokémon Stadium]]
5,"February 8, 2000",''[[Pokémon World (single)|Pokémon World]]'',Single of ''[[Pokémon World (song)|Pokémon World]]''
6,"May 9, 2000",''[[Pokémon the First Movie (score)|Pokémon the First Movie]]'',Score for ''[[M01|Mewtwo Strikes Back]]'' and ''[[PK01|Pikachu's Vacation]]''
7,"July 18, 2000",''[[Pokémon the Movie 2000 (soundtrack)|Pokémon the Movie 2000]]'',Soundtrack for ''[[M02|The Power of One]]'' and ''[[PK04|Pikachu's Rescue Adventure]]''
8,"October 31, 2000",''[[The Power of One (single)|The Power of One]]'',Single of ''[[The Power of One (song)|The Power of One]]''
9,2001,''[[Pokémon the Movie 2000 (score)|Pokémon the Movie 2000]]'',Score for ''[[M02|The Power of One]]'' and ''[[PK04|Pikachu's Rescue Adventure]]''
10,"January 23, 2001",''[[Totally Pokémon]]'',Soundtrack for ''[[S03|Pokémon: The Johto Journeys]]''
11,"February 27, 2001",''[[Pokémon Gotta Catch 'em Live!]]'',Cast album for ''[[Pokémon Live!]]''
12,"April 3, 2001",''[[Pokémon 3: The Ultimate Soundtrack]]'',Soundtrack for ''[[M03|Spell of the Unown: Entei]]''
13,"October 23, 2001",''[[Pokémon Christmas Bash]]'',Collection of [[Christmas]]-themed songs by the [[Pokémon the Series|''Pokémon the Series'']] cast
14,"October 18, 2005",''[[Music from 4Kids TV]]'',Songs from shows produced by [[4Kids Entertainment]]
15,"March 27, 2007",''[[Pokémon X (CD)|Pokémon X]]'',Album released for the tenth anniversary of Pokémon
16,"April 3, 2007",''[[Exclusive Target Mix!]]'',Bonus music CD that was given with the [[M09|9th movie]] DVD at [[wp:Target Corporation|Target stores]] in the United States
17,"April 3, 2007",''[[Exclusive Toys R Us Mix!]]'',"Bonus music CD that was given with the [[M09|9th movie]] DVD at [[wp:Toys ""R"" Us|Toys ""R"" Us]] in the United States"
18,"November 13, 2013",''[[Pokémon X & Pokémon Y: Super Music Collection]]'',"Soundtrack to the games [[Pokémon X and Y]], also including music from the miniseries ''[[Pokémon Origins]]''"
19,"December 10, 2013",''[[Pokémon FireRed & Pokémon LeafGreen: Super Music Collection]]'',Soundtrack to the games [[Pokémon FireRed and LeafGreen Versions |Pokémon FireRed and LeafGreen]]
20,"January 14, 2014",''[[Pokémon HeartGold & Pokémon SoulSilver: Super Music Collection]]'',Soundtrack to the games [[Pokémon HeartGold and SoulSilver Versions |Pokémon HeartGold and SoulSilver]]
21,"February 11, 2014",''[[Pokémon Ruby & Pokémon Sapphire: Super Music Collection]]'',Soundtrack to the games [[Pokémon Ruby and Sapphire Versions |Pokémon Ruby and Sapphire]]
22,"March 11, 2014",''[[Pokémon Diamond & Pokémon Pearl: Super Music Collection]]'',Soundtrack to the games [[Pokémon Diamond and Pearl Versions |Pokémon Diamond and Pearl]]
23,"April 8, 2014",''[[Pokémon Black & Pokémon White: Super Music Collection]]'',Soundtrack to the games [[Pokémon Black and White Versions |Pokémon Black and White]]
24,"May 13, 2014",''[[Pokémon Black 2 & Pokémon White 2: Super Music Collection]]'',"Soundtrack to the games [[Pokémon Black and White Versions 2|Pokémon Black 2 and White 2]], also including music from [[Pokémon Emerald Version |Pokémon Emerald]] and [[Pokémon Platinum Version |Pokémon Platinum]]"
25,"December 16, 2014",''[[Pokémon Omega Ruby & Pokémon Alpha Sapphire: Super Music Collection]]'',Soundtrack to the games [[Pokémon Omega Ruby and Alpha Sapphire]]
26,"November 30, 2016",''[[Pokémon Sun & Pokémon Moon: Super Music Collection]]'',Soundtrack to the games [[Pokémon Sun and Moon]]
27,"December 23, 2017",''[[Pokémon Movie Music Collection]]'',Soundtrack for ''[[Pokémon the Series: XY]]'' and ''[[M20|I Choose You!]]''
28,"December 1, 2018","''[[Pokémon: Let's Go, Pikachu! & Pokémon: Let's Go, Eevee! Super Music Collection]]''","Soundtrack to the games [[Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!]]"
29,"May 3, 2019",''[[Pokémon Detective Pikachu Original Motion Picture Soundtrack]],Soundtrack for [[POKÉMON Detective Pikachu|''POKÉMON Detective Pikachu'']]
30,"October 30, 2024",''[[Nintendo Music#Pokémon Scarlet and Pokémon Violet|Pokémon Scarlet and Pokémon Violet]]'',"Soundtrack to the games [[Pokémon Scarlet and Violet]] and its DLC, [[The Hidden Treasure of Area Zero]], available on [[Nintendo Music]]"
31,"January 28, 2025",''[[Nintendo Music#Pokémon Legends: Arceus|Pokémon Legends: Arceus]]'',"Soundtrack to [[Pokémon Legends: Arceus]], available on [[Nintendo Music]]"
32,"May 13, 2025",''[[Nintendo Music#Pokémon Sword and Pokémon Shield|Pokémon Sword and Pokémon Shield]]'',"Soundtrack to the games [[Pokémon Sword and Shield]] and its [[Pokémon Sword and Shield Expansion Pass|expansion pass]], available on [[Nintendo Music]]"
