,Release date,Name,Details
0,"June 28, 1997",''[[Aim to Be a Pokémon Master (CD)|Aim to Be a Pokémon Master]]'',Soundtrack for ''[[S01|Pokémon: Indigo League]]''
1,"November 1, 1997",''[[Game Boy: Entire Pokémon Sounds Collection CD]]'',Soundtrack for [[Pokémon Red and Green Versions]]
2,"November 21, 1997",''[[Can You Draw All the Pokémon? (CD)|Can You Draw All the Pokémon?]]'',A [[Suzukisan]] album
3,"December 10, 1997",''[[Singing Pokémon Encyclopedia]]'',A single containing songs about the [[Normal (type)|Normal]]- and [[Bug (type)|Bug-type]] Pokémon.
4,"December 10, 1997",''[[Team Rocket Forever (CD)|Team Rocket Forever]]'',A soundtrack featuring songs about [[Team Rocket trio|Team Rocket]].
5,"February 10, 1998",''[[Let's Trade Please (CD)|Let's Trade Please]]'',A [[Suzukisan]] album
6,"June 10, 1998",''[[Pocket Monsters Sound Anime Collection]]'',Soundtrack for ''[[S01|Pokémon: Indigo League]]''
7,"July 18, 1998",''[[Can You Play Pokémon?]]'',Demo music album packaged with sheet music
8,"July 18, 1998",''[[Pika Pika Massaichu (CD)|Pika Pika Massaichu]]'',Soundtrack for ''[[PK01|Pikachu's Vacation]]''
9,"September 3, 1998",''[[Together With the Wind (1998 single)|Together With the Wind]]'',Single of ''[[Together With the Wind]]''
10,1998,''[[Sound Picture Box - It's a White Tomorrow! Team Rocket]]'',Contains the radio drama ''[[It's a White Tomorrow! Team Rocket]]'' and some musical tracks
11,"January 1, 1999",''[[Pokémon Song Best Collection]]'',Compilation album of previously released songs
12,"February 12, 1999",''[[Sound Picture Box - The Birth of Mewtwo]]'',Contains the radio drama ''[[The Birth of Mewtwo]]'' and the soundtrack to ''[[M01|Mewtwo Strikes Back]]''
13,"March 25, 1999",''[[The Rivals (CD)|The Rivals]]'',Soundtrack for ''[[S02|Pokémon: Adventures in the Orange Islands]]''
14,"July 7, 1999",''[[toi et moi (single)|toi et moi]]'',Single of ''[[toi et moi]]''
15,"July 17, 1999",''[[Soaring Pokémon Kids (CD)|Soaring Pokémon Kids]]'',Soundtrack for ''[[PK04|Pikachu's Rescue Adventure]]''
16,"August 21, 1999",''[[Riding on Lapras (single)|Riding on Lapras]]'',Single of ''[[Riding on Lapras]]''
17,"September 15, 1999",''[[Mirage Pokémon: Lugia's Explosive Birth Music Collection]]'',Soundtrack for ''[[M02|The Power of One]]''
18,"October 27, 1999",''[[Meowth's Party (single)|Meowth's Party]]'',Single of ''[[Meowth's Party]]''
19,"February 2, 2000",''[[OK! (single)|OK!]]'',Single of ''[[OK!]]''
20,"June 7, 2000",''[[Exciting Pokémon Relay (single)|Exciting Pokémon Relay]]'',Single of ''[[Exciting Pokémon Relay]]''
21,"June 28, 2000",''[[Can You Name All the Pokémon Neo? (single)|Can You Name All the Pokémon Neo?]]'',A [[Suzukisan]] single
22,"July 8, 2000",''[[Emperor of the Crystal Tower: Entei Music Collection]]'',Soundtrack for ''[[M03|Spell of the Unown: Entei]]'' and ''[[PK07|Pikachu And Pichu]]''
23,"September 13, 2000",''[[The Day a Rainbow Was Born (single)|The Day a Rainbow Was Born]]'',Single of ''[[The Day a Rainbow Was Born]]''
24,"December 22, 2000",''[[Pikachu's Winter Vacation Soundtrack]]'',Soundtrack for ''[[Pikachu's Winter Vacations]]''
25,"February 7, 2001",''[[To My Best Friend (single)|To My Best Friend]]'',Single of ''[[To My Best Friend]]''
26,"March 28, 2001",''[[Pokémon Song Best Collection 2]]'',Compilation album of previously released songs
27,"July 18, 2001",''[[Please Let There Be Good Weather Tomorrow (single)|Please Let There Be Good Weather Tomorrow]]'',Single of ''[[Please Let There Be Good Weather Tomorrow]]''
28,"July 18, 2001",''[[Hide and Seek (single)|Hide and Seek]]'',Single of ''[[Hide and Seek]]''
29,"July 20, 2001",''[[Face Forward Team Rocket! (single)|Face Forward Team Rocket!]]'',Single of ''[[Face Forward Team Rocket!]]''
30,"August 1, 2001",''[[Celebi: Encounter Beyond Time Original Soundtrack]]'',Soundtrack for ''[[M04|Celebi: The Voice of the Forest]]'' and ''[[PK10|Pikachu's PikaBoo]]''
31,"March 29, 2002",''[[Ready Go! (CD)|Ready Go!]]'',Soundtrack for ''[[S05|Pokémon: Master Quest]]'' and ''[[The Legend of Thunder!]]''
32,"July 10, 2002",''[[Aim for that Hill (single)|Aim for that Hill]]'',Single of ''[[Aim for that Hill]]''
33,"July 10, 2002",''[[You're Not Alone (single)|You're Not Alone]]'',Single of ''[[You're Not Alone]]''
34,"August 1, 2002",''[[Guardian Gods of the City of Water: Latias and Latios Music Collection]]'',Soundtrack for ''[[M05|Pokémon Heroes: Latios & Latias]]'' and ''[[PK11|Camp Pikachu]]''
35,"January 29, 2003",''[[Advance Adventure (CD)|Advance Adventure]]'',Soundtrack for ''[[S06|Pokémon: Advanced]]''
36,"April 23, 2003",''[[Pokémon TV Anime Theme Song Collection]]'',Collection of [[Pokémon the Series|''Pokémon the Series'']] songs from 1997 to 2003
37,"April 26, 2003",''[[Pokémon Ruby & Pokémon Sapphire: Super Music Collection]]'',Soundtrack for [[Pokémon Ruby and Sapphire Versions]]
38,"July 9, 2003",''[[A Small Thing (single)|A Small Thing]]'',Single of ''[[A Small Thing]]''
39,"July 19, 2003",''[[Polka O Dolka (CD)|Polka O Dolka]]'',Single of ''[[Polka O Dolka]]''
40,"July 25, 2003",''[[Wishing Star of the Seven Nights: Jirachi Music Collection]]'',Soundtrack for ''[[M06|Jirachi: Wish Maker]]'' and ''[[PK12|Gotta Dance!]]''
41,"November 28, 2003",''[[Pokémon Movie Anime Theme Song Collection]]'',Collection of movie versions of [[Pokémon the Series|''Pokémon the Series'']] theme songs from 1998 to 2003
42,"April 28, 2004",''[[Challenger!! (CD)|Challenger!!]]'',Soundtrack for ''[[S07|Pokémon: Advanced Challenge]]''
43,"May 26, 2004",''[[Pokémon FireRed & LeafGreen Music Super Complete]]'',Soundtrack for [[Pokémon FireRed and LeafGreen Versions]]
44,"June 9, 2004",''[[Marching March (single)|Marching March]]'',Single of ''[[Marching March]]''
45,"July 14, 2004",''[[L·O·V·E·L·Y ~Dreaming LOVELY BOY~ (single)|L·O·V·E·L·Y ~Dreaming LOVELY BOY~]]'',Single of ''[[L·O·V·E·L·Y ~Dreaming LOVELY BOY~]]''
46,"August 3, 2004",''[[Sky-Splitting Visitor: Deoxys Music Collection]]'',Soundtrack of ''[[M07|Destiny Deoxys]]''
47,"February 2, 2005",''[[Pokémon Symphonic Medley / GLORY DAY ~That Shining Day~]]'',Soundtrack for ''[[S08|Pokémon: Advanced Battle]]''
48,"March 23, 2005",''[[Full of Energy!! Pokémon Song Collection]]'',[[Pokémon the Series|''Pokémon the Series'']] and games song collection
49,"April 29, 2005",''[[Hello! Thank You! (single)|Hello! Thank You!]]'',Single of ''[[Hello! Thank You!]]''
50,"July 13, 2005",''[[Song of Origin / Nice Buddy (single)|Song of Origin / Nice Buddy]]'',Single of ''[[Song of Origin]]''
51,"July 16, 2005",''[[Battle Frontier (CD)|Battle Frontier]]'',Soundtrack for ''[[S09|Pokémon: Battle Frontier]]''
52,"August 3, 2005",''[[Mew and the Wave-Guiding Hero: Lucario Music Collection]]'',Soundtrack for ''[[M08|Lucario and the Mystery of Mew]]''
53,"April 26, 2006",''[[Pokémon TV Anime Theme Song Collection 2]]'',Collection of [[Pokémon the Series|''Pokémon the Series'']] songs from 2003 to 2006
54,"June 28, 2006",''[[Spurt! / I Won't Lose! ~Haruka's Theme~]]'',Soundtrack for ''[[S09|Pokémon: Battle Frontier]]''
55,"July 26, 2006",''[[Pokémon Ranger and the Prince of the Sea: Manaphy Music Collection]]'',Soundtrack for ''[[M09|Pokémon Ranger and the Temple of the Sea]]''
56,"October 28, 2006",''[[10th Anniversary Pokémon Happy Birthday Concert]]'',Album released for the tenth anniversary of Pokémon
57,"November 29, 2006",''[[Together / By Your Side ~Hikari's Theme~]]'',Soundtrack for ''[[S10|Pokémon: Diamond and Pearl]]''
58,"December 22, 2006",''[[Pokémon Diamond & Pearl Super Music Collection]]'',Soundtrack for [[Pokémon Diamond and Pearl Versions]]
59,"July 11, 2007",''[[I Will Be With You (single)|I Will Be With You]]'',Single of ''[[I Will Be With You]]''
60,"July 18, 2007",''[[Together 2007]]'',Soundtrack for ''[[S10|Pokémon: Diamond and Pearl]]'' and ''[[M10|The Rise of Darkrai]]''
61,"July 25, 2007",''[[Dialga vs. Palkia vs. Darkrai Music Collection]]'',Soundtrack for ''[[M10|The Rise of Darkrai]]''
62,"May 28, 2008",''[[Message of the Wind (CD)|Message of the Wind]]'',Soundtrack for ''[[S11|Pokémon Diamond & Pearl: Battle Dimension]]''
63,"July 16, 2008",''[[ONE (single)|ONE]]'',Single of ''[[ONE (Japanese song)|ONE]]''
64,"July 30, 2008",''[[Giratina and the Sky's Bouquet: Shaymin Music Collection]]'',Soundtrack for ''[[M11|Giratina and the Sky Warrior]]''
65,"November 26, 2008",''[[High Touch! / Surely Tomorrow]]'',Soundtrack for ''[[S12|Pokémon Diamond & Pearl: Galactic Battles]]''
66,"March 4, 2009",''[[Pikachu the Movie Song Best 1998-2008]]'',Collection of [[Pikachu short]]s songs from 1998 to 2008
67,"July 15, 2009",''[[High Touch! 2009 (CD)|High Touch! 2009]]'',Soundtrack for ''[[S12|Pokémon Diamond & Pearl: Galactic Battles]]''
68,"July 15, 2009",''[[Antenna of the Heart (single)|Antenna of the Heart]]'',Single of ''[[Antenna of the Heart]]''
69,"August 5, 2009",''[[Arceus: To a Conquering Spacetime Music Collection]]'',Soundtrack for ''[[M12|Arceus and the Jewel of Life]]''
70,"October 28, 2009",''[[Pokémon HeartGold & Pokémon SoulSilver: Super Music Collection]]'',Soundtrack for [[Pokémon HeartGold and SoulSilver Versions]]
71,"December 16, 2009",''[[Which One ~ Is It? (CD)|Which One ~ Is It?]]'',Soundtrack for ''[[S12|Pokémon Diamond & Pearl: Galactic Battles]]''
72,"February 24, 2010",''[[The Greatest - Everyday! (CD)|The Greatest - Everyday!]]'',Soundtrack for [[S13|Pokémon Diamond & Pearl: Sinnoh League Victors]]
73,"June 30, 2010",''[[Ice Cream Syndrome (single)|Ice Cream Syndrome]]'',Single of ''[[Ice Cream Syndrome]]''
74,"August 4, 2010",''[[Ruler of Illusions: Zoroark Music Collection]]'',Soundtrack for ''[[M13|Zoroark: Master of Illusions]]''
75,"September 8, 2010",''[[Pocket Monsters Original Soundtrack Best]]'',Soundtrack for [[series]] of [[Pokémon the Series|''Pokémon the Series'']] prior to [[Pokémon the Series: Black & White|''Black & White'']]
76,"October 20, 2010",''[[Pokémon Black & White Super Music Collection]]'',Soundtrack to the games [[Pokémon Black and White Versions |Pokémon Black and White]]
77,"November 24, 2010",''[[Best Wishes! / Fanfare of the Heart]]'',Soundtrack for ''[[S14|Pokémon: Black & White]]
78,"July 13, 2011",''[[The Sky / The Voice (single)|The Sky / The Voice]]'',Soundtrack for ''[[M14|Victini and the Black Hero: Zekrom/Victini and the White Hero: Reshiram]]''
79,"July 16, 2011",''[[Pokémon Song Best]],Compilation album of previously released songs
80,"July 22, 2011",''[[Can You Name All the Pokémon? BW (single)|Can You Name All the Pokémon? BW]]'',Single of ''[[Can You Name All the Pokémon? BW]]''
81,"July 27, 2011",''[[Victini and the Black Hero: Zekrom / Victini and the White Hero: Reshiram Music Collections]],Soundtrack to [[M14|Pokémon The Movie: White—Victini and Zekrom]]
82,"June 27, 2012",''[[Maiden War]]'',CD released by [[wp:Momoiro Clover Z|Momoiro Clover Z]] that contains the ending theme ''[[Look Look☆Here]]''.
83,"July 11, 2012",''[[Memories (single)|Memories]],Single of ''[[Memories]]''
84,"July 18, 2012",''[[Pocket Monsters Best Wishes! Season 2 (CD)|Pocket Monsters Best Wishes! Season 2]]'',Soundtrack for ''[[S15|Pokémon Black & White: Rival Destinies]]''
85,"July 25, 2012",''[[Pokémon Black 2 & White 2 Super Music Complete]]'',"Soundtrack to the games [[Pokémon Black and White Versions 2|Pokémon Black 2 and White 2]], also including music from [[Pokémon Emerald Version |Pokémon Emerald]] and [[Pokémon Platinum Version |Pokémon Platinum]]"
86,"August 3, 2012",''[[Kyurem VS the Sacred Swordsman: Keldeo / Meloetta's Dazzling Recital Music Collection]]'',Soundtrack to ''[[M15|Kyurem VS the Sacred Swordsman: Keldeo]] and ''[[PK24|Meloetta's Dazzling Recital]]''
87,"February 22, 2013",''[[Pokémon Radio Show! Team Rocket's Secret Empire Volume 1 - Jessie Edition]]'',First CD album compiling segments from [[Team Rocket's Secret Empire]] radio show
88,"March 29, 2013",''[[Pokémon Radio Show! Team Rocket's Secret Empire Volume 2 - James Edition]]'',Second CD album compiling segments from [[Team Rocket's Secret Empire]] radio show
89,"April 26, 2013",''[[Pokémon Radio Show! Team Rocket's Secret Empire Volume 3 - Meowth Edition]]'',Third CD album compiling segments from [[Team Rocket's Secret Empire]] radio show
90,"April 26, 2013",''[[Pokémon Radio Show! Team Rocket's Secret Empire Rare Pilot Edition]]'',"A special release from [[Team Rocket's Secret Empire]], exclusive to [[wp:Animate|Animate]] stores"
91,"May 31, 2013",''[[Pokémon Radio Show! Team Rocket's Secret Empire ~Selection~]]'',Fourth CD album compiling segments from [[Team Rocket's Secret Empire]] radio show
92,"June 5, 2013",''[[Let's Join Hands / Forbidden Karma]]'',CD released by [[wp:Shiritsu Ebisu Chugaku|Shiritsu Ebisu Chugaku]] that contains the ending themes ''[[Sakura Go-Round]]'' and ''[[Let's Join Hands]]''
93,"July 7, 2013",''[[Summerly Slope (CD)|Summerly Slope]]'',Single by Daisuke that contains the opening theme ''[[Summerly Slope]]''
94,"July 10, 2013",''[[Smiling Face (single)|Smiling Face]]'',Single by [[wp:Ikimono-gakari|Ikimono-gakari]] that contains the movie theme ''[[Smiling Face]]''
95,"July 31, 2013",''[[ExtremeSpeed Genesect: Mewtwo Awakens / Pikachu and Eevee Friends Music Collection]],Soundtrack to ''[[M16|ExtremeSpeed Genesect: Mewtwo Awakens]]'' and ''[[PK25|Pikachu and Eevee Friends]]''
96,"November 13, 2013",''[[Nintendo 3DS Pokémon X ・Y Super Music Complete]]'',Soundtrack to the games [[Pokémon X and Y]] and [[Pokémon Origins]]
97,"December 4, 2013",''[[V / Santa Claus at 850 Yen Per Hour]]'',"Single by [[wp:Yusuke Kamiji|Yusuke]] that contains the first [[Pokémon the Series: XY|XY]] opening theme, ""[[V (Volt)]]"""
98,"June 18, 2014",''[[Mega V / Sunshine]]'',"Single by [[wp:Yusuke Kamiji|Yusuke]] that contains the remix of the [[Pokémon the Series: XY|XY]] opening theme, ""[[V (Volt)|Mega V]]"""
99,"July 16, 2014",''[[Daybreak Meteor Shower (CD)|Daybreak Meteor Shower]]'',Single by [[wp:Scandal|Scandal]] that contains the movie theme ''[[Daybreak Meteor Shower]]''
100,"July 23, 2014",''[[Let's Dance with Pokémon with J☆Dee'Z]]'',CD released by [[jwp:J☆Dee'Z|J☆Dee'Z]] that contains the ending themes ''[[X Strait Y Scenery]]'' and ''[[Peace Smile!]]''
101,"July 30, 2014","''[[The Cocoon of Destruction and Diancie / Pikachu, What's This Key For? Music Collection]]''","Soundtrack to ''[[M17|The Cocoon of Destruction and Diancie]]'' and ''[[PK26|Pikachu, What's This Key?]]''"
102,"December 3, 2014",''[[Nintendo 3DS Pokémon Omega Ruby & Alpha Sapphire Super Music Complete]]'',Soundtrack to the games [[Pokémon Omega Ruby and Alpha Sapphire]]
103,"February 18, 2015",''[[DreamDream (single)|DreamDream]]'',Single by [[Shōko Nakagawa]] that contains the ending theme ''[[DreamDream]]''
104,"April 29, 2015",''[[Mad-Paced Getter (single)|Mad-Paced Getter]]'',Single by [[wp:Yusuke Kamiji|Yusuke]] that contains the opening theme ''[[Mad-Paced Getter]]''
105,"July 15, 2015",''[[Tweedia (single)|Tweedia]]'',Single by [[wp:Rachel Rhodes (singer)|Rachel Rhodes]] that contains the movie theme ''[[Tweedia]]''
106,"July 15, 2015",''[[Roaring All-Stars / Life Only Comes Once]]'',Single by [[jwp:Little Glee Monster|Little Glee Monster]] that contains the ending theme ''[[Roaring All-Stars]]''
107,"July 29, 2015",''[[The Archdjinni of the Rings: Hoopa Music Collection]]'',Soundtrack to ''[[M18|The Archdjinni of the Rings: Hoopa]]''
108,"January 20, 2016",''[[Pocket Monsters XY&Z TV Anime Character Song Project Collection Volume 1]]'',A soundtrack featuring [[wp:Image song|character songs]] from the ''XY&Z'' arc of ''[[Pokémon the Series: XY]]''.
109,"April 27, 2016",''[[Pokémon Red & Pokémon Green: Super Music Collection]]'',Soundtrack to the games [[Pokémon Red and Green Versions |Pokémon Red and Green]]
